"group","tag","title","link"
"course","commit","Conventional Commits","https://www.conventionalcommits.org"
"course","design pattern","Design Patterns Revisited","https://gameprogrammingpatterns.com/design-patterns-revisited.html"
"course","docker","Docker for beginners","https://docker-curriculum.com/"
"course","electric circuits","Lessons in Electric Circuits","https://www.allaboutcircuits.com/textbook/"
"course","excel formula","1000 Excel Formulas","https://exceljet.net/formulas"
"course","latex","Learn LaTeX in 30 minutes","https://www.overleaf.com/learn/latex/Learn_LaTeX_in_30_minutes"
"course","market","Market Structure Primer","https://primer.prooftrading.com/"
"course","midi","The MIDI Specification","http://midi.teragonaudio.com/tech/midispec.htm"
"course","mlops","MLOps-Basics","https://github.com/graviraja/MLOps-Basics"
"course","music","Learning Music","https://learningmusic.ableton.com/"
"course","pygame","Build an Asteroids Game With Python and Pygame","https://realpython.com/asteroids-game-python"
"course","python","30 Days Of Python","https://github.com/Asabeneh/30-Days-Of-Python"
"course","ram","RAM-a-thon","https://ram-a-thon.vercel.app/"
"course","shell style","Shell Style Guide","https://google.github.io/styleguide/shellguide.html"
"course","sleep","Good sleep, good learning, good life","https://super-memory.com/articles/sleep.htm"
"course","svg","Understanding SVG Paths","https://www.nan.fyi/svg-paths"
"course","svg","SVG Tutorial","https://svg-tutorial.com/"
"lession","command","10 Essential Terminal Commands Every Developer Should Know ","https://www.trevorlasn.com/blog/10-essential-terminal-commands-every-developer-should-know"
"lession","sql","sql 十四分钟速成班!没错不要怀疑，数据库语法比中午决定吃什麽还要简单!","https://www.youtube.com/watch?v=G_zGBR0mQmE"
"note","3d printer","Let's build a VORON Trident","https://www.jonashietala.se/series/voron_trident/"
"note","beancount","『Beancount指南』复式记账","https://fermi.ink/posts/2023/05/31/01/"
"note","biblatex","Supported entry types","https://www.overleaf.com/learn/latex/Bibliography_management_with_biblatex"
"note","bucket","Buckets","https://github.com/ScoopInstaller/Scoop/wiki/Buckets"
"note","cdn","Building a Tiny CDN With pyinfra and Chimera Linux","https://www.wezm.net/v2/posts/2024/tiny-cdn/"
"note","cloud storage","We have cloud at home","https://nielscautaerts.xyz/we-have-cloud-at-home.html"
"note","cmder","portabledevops","https://github.com/robertluwang/portabledevops"
"note","cuda environment","Steps to manage multiple CUDA environments","https://gist.github.com/garg-aayush/156ec6ddda3d62e2c0ddad00b7e66956"
"note","electronic device repair","How to Debug an Electronic Device That Won't Power Up: A Step-by-Step Guide for Board-Level Repair","https://omid.dev/2024/10/14/how-to-debug-an-electronic-device-that-wont-power-up-a-step-by-step-guide-for-board-level-repair/"
"note","epub tutorial","Epub Tutorial","https://gist.github.com/stormwild/86673836eb6153e6ab2e65b4353a289e"
"note","gh-pages branch","Creating a clean gh-pages branch","https://gist.github.com/ramnathv/2227408"
"note","gopher","用 nginx 建立 Gopher 网站","https://lantian.pub/article/modify-website/serve-gopher-with-nginx.lantian/"
"note","halfttone","Creating a halftone effect with CSS","https://leanrada.com/notes/pure-css-halftone"
"note","model","MODEL 777","https://www.lucaiaconistewart.com/model-777"
"note","split keyboard","My personalised 55% split keyboard","https://leanrada.com/notes/my-personalised-keyboard/"
"note","terminal color scheme","Let's Create a Terminal Color Scheme","https://hamvocke.com/blog/lets-create-a-terminal-color-scheme/"
"note","tinypilot","TinyPilot: Build a KVM Over IP for Under $100","https://mtlynch.io/tinypilot/"
"note","yubikey","Encrypting files with YubiKey","https://hive.blog/software/@m-san/encrypting-files-with-yubikey"
"note","website","How I built this website on a Raspberry Pi","https://mirawelner.com/posts/website_howto.html"
"note","mutt","Configuring mutt to work with gmail and yandex","https://gist.github.com/lazyfrost/ca4807e185d5e6816bf1"
"note","pi pico","Raspberry Pi Pico audio player","https://lucstechblog.blogspot.com/2025/02/raspberry-pi-pico-audio-player.html"
